Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14606                0                    9                    0.03364                                  2108                 1.14                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14606                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    2059                 1                   
 1                    249                  1                   
 2                    11                   1                   
 3                    200                  1                   
 4                    230                  1                   
 5                    85                   1                   
 6                    0                    1                   
 7                    0                    1                   
 8                    131                  0                   
